,,6Base_2 Avg:,-0.0333,-0.0329,-0.0203,BASELINE SUBTRACTED,,
Date & Time,Date,Time,PDIT705,PDIT706,PDIT707,PDIT705,PDIT706,PDIT707
12/14/2018 6:49:31.42,12/14/18,06:49:31:42,-0.045421,-0.10504,0.067813,,,
12/14/2018 6:49:31.66,12/14/18,06:49:31:66,-0.04422,-0.10504,0.067773,,,
12/14/2018 6:49:31.74,12/14/18,06:49:31:74,-0.04422,-0.10504,0.067773,,,
12/14/2018 6:49:31.83,12/14/18,06:49:31:83,-0.045121,-0.10504,0.067773,,,
12/14/2018 6:49:32.05,12/14/18,06:49:32:05,-0.04437,-0.10504,0.067773,,,
12/14/2018 6:49:32.16,12/14/18,06:49:32:16,-0.04497,-0.10504,0.067733,,,
12/14/2018 6:49:32.45,12/14/18,06:49:32:45,-0.04467,-0.10504,0.067773,,,
12/14/2018 6:49:32.53,12/14/18,06:49:32:53,-0.04497,-0.10504,0.067773,,,
12/14/2018 6:49:32.63,12/14/18,06:49:32:63,-0.04527,-0.10504,0.067773,,,
12/14/2018 6:49:32.83,12/14/18,06:49:32:83,-0.04482,-0.10504,0.067773,,,
12/14/2018 6:49:32.94,12/14/18,06:49:32:94,-0.045121,-0.105,0.067773,,,
12/14/2018 6:49:33.14,12/14/18,06:49:33:14,-0.04467,-0.10504,0.067773,,,
12/14/2018 6:49:33.33,12/14/18,06:49:33:33,-0.045121,-0.10504,0.067733,,,
12/14/2018 6:49:33.62,12/14/18,06:49:33:62,-0.04452,-0.10504,0.067733,,,
12/14/2018 6:49:33.72,12/14/18,06:49:33:72,-0.04557,-0.105,0.067773,,,
12/14/2018 6:49:33.90,12/14/18,06:49:33:90,-0.04497,-0.10504,0.067733,,,
12/14/2018 6:49:34.09,12/14/18,06:49:34:09,-0.04467,-0.10504,0.067733,,,
12/14/2018 6:49:34.29,12/14/18,06:49:34:29,-0.04467,-0.105,0.067773,,,
12/14/2018 6:49:34.48,12/14/18,06:49:34:48,-0.045121,-0.105,0.067733,,,
12/14/2018 6:49:34.58,12/14/18,06:49:34:58,-0.04452,-0.10504,0.067733,,,
12/14/2018 6:49:34.86,12/14/18,06:49:34:86,-0.04527,-0.10504,0.067733,,,
12/14/2018 6:49:34.95,12/14/18,06:49:34:95,-0.04482,-0.10504,0.067733,,,
12/14/2018 6:49:35.14,12/14/18,06:49:35:14,-0.04527,-0.105,0.067733,,,
12/14/2018 6:49:35.36,12/14/18,06:49:35:36,-0.04482,-0.10504,0.067733,,,
12/14/2018 6:49:35.54,12/14/18,06:49:35:54,-0.04482,-0.10504,0.067693,,,
12/14/2018 6:49:35.64,12/14/18,06:49:35:64,-0.04497,-0.10504,0.067733,,,
12/14/2018 6:49:35.93,12/14/18,06:49:35:93,-0.04497,-0.10504,0.067733,,,
12/14/2018 6:49:36.03,12/14/18,06:49:36:03,-0.045121,-0.10504,0.067733,,,
12/14/2018 6:49:36.14,12/14/18,06:49:36:14,-0.04437,-0.10504,0.067733,,,
12/14/2018 6:49:36.24,12/14/18,06:49:36:24,-0.04437,-0.10504,0.067733,,,
12/14/2018 6:49:36.46,12/14/18,06:49:36:46,-0.04557,-0.10504,0.067733,,,
12/14/2018 6:49:36.67,12/14/18,06:49:36:67,-0.04422,-0.10504,0.067733,,,
12/14/2018 6:49:36.76,12/14/18,06:49:36:76,-0.04407,-0.10504,0.067693,,,
12/14/2018 6:49:37.07,12/14/18,06:49:37:07,-0.04482,-0.10504,0.067693,,,
12/14/2018 6:49:37.17,12/14/18,06:49:37:17,-0.04557,-0.10504,0.067733,,,
12/14/2018 6:49:37.24,12/14/18,06:49:37:24,-0.04497,-0.10504,0.067693,,,
12/14/2018 6:49:37.34,12/14/18,06:49:37:34,-0.04362,-0.10504,0.067693,,,
12/14/2018 6:49:37.56,12/14/18,06:49:37:56,-0.04557,-0.10504,0.067693,,,
12/14/2018 6:49:37.76,12/14/18,06:49:37:76,-0.04437,-0.10504,0.067693,,,
12/14/2018 6:49:37.85,12/14/18,06:49:37:85,-0.04377,-0.10504,0.067613,,,
12/14/2018 6:49:38.13,12/14/18,06:49:38:13,-0.04482,-0.10504,0.067693,,,
12/14/2018 6:49:38.23,12/14/18,06:49:38:23,-0.04377,-0.10504,0.067653,,,
12/14/2018 6:49:38.41,12/14/18,06:49:38:41,-0.04467,-0.10504,0.067693,,,
12/14/2018 6:49:38.63,12/14/18,06:49:38:63,-0.04452,-0.10504,0.067653,,,
12/14/2018 6:49:38.85,12/14/18,06:49:38:85,-0.045421,-0.10504,0.067653,,,
12/14/2018 6:49:38.94,12/14/18,06:49:38:94,-0.04557,-0.10504,0.067693,,,
12/14/2018 6:49:39.22,12/14/18,06:49:39:22,-0.04497,-0.10508,0.067653,,,
12/14/2018 6:49:39.32,12/14/18,06:49:39:32,-0.04452,-0.10504,0.067653,,,
12/14/2018 6:49:39.51,12/14/18,06:49:39:51,-0.04557,-0.10504,0.067693,,,
12/14/2018 6:49:39.72,12/14/18,06:49:39:72,-0.04482,-0.10504,0.067693,,,
12/14/2018 6:49:39.91,12/14/18,06:49:39:91,-0.04587,-0.10504,0.067733,,,
12/14/2018 6:49:40.10,12/14/18,06:49:40:10,-0.04482,-0.10504,0.067693,,,
12/14/2018 6:49:40.39,12/14/18,06:49:40:39,-0.04467,-0.10504,0.067733,,,
12/14/2018 6:49:40.47,12/14/18,06:49:40:47,-0.04437,-0.105,0.067693,,,
12/14/2018 6:49:40.57,12/14/18,06:49:40:57,-0.04467,-0.10504,0.067693,,,
12/14/2018 6:49:40.67,12/14/18,06:49:40:67,-0.04497,-0.105,0.067693,,,
12/14/2018 6:49:40.91,12/14/18,06:49:40:91,-0.04527,-0.10504,0.067693,,,
12/14/2018 6:49:41.10,12/14/18,06:49:41:10,-0.04467,-0.10504,0.067693,,,
12/14/2018 6:49:41.28,12/14/18,06:49:41:28,-0.04467,-0.10504,0.067653,,,
12/14/2018 6:49:41.56,12/14/18,06:49:41:56,-0.04437,-0.10504,0.067733,,,
12/14/2018 6:49:41.66,12/14/18,06:49:41:66,-0.04467,-0.105,0.067733,,,
12/14/2018 6:49:41.88,12/14/18,06:49:41:88,-0.04467,-0.10508,0.067693,,,
12/14/2018 6:49:42.00,12/14/18,06:49:42:00,-0.04467,-0.10508,0.067693,,,
